"item_id","location_id","_date"
"500-036866",14,"2022-01-01"
"500-011784",14,"2022-01-01"
"500-060739",14,"2022-01-01"
"500-007310",14,"2022-01-01"
"500-037044",14,"2022-01-01"
"500-003263",14,"2022-01-01"
"500-044698",14,"2022-01-01"
"500-063104",14,"2022-01-01"
"500-061765",14,"2022-01-01"
"500-053250",14,"2022-01-01"
"500-065616",14,"2022-01-01"
"500-067077",14,"2022-01-01"
"500-046536",14,"2022-01-01"
"500-055542",14,"2022-01-01"
"500-031299",14,"2022-01-01"
"500-062926",14,"2022-01-01"
"500-015338",14,"2022-01-01"
"500-062497",14,"2022-01-01"
"500-062118",14,"2022-01-01"
"500-060779",14,"2022-01-01"
"500-036597",14,"2022-01-01"
"500-030285",14,"2022-01-01"
"500-019893",14,"2022-01-01"
"500-001442",14,"2022-01-01"
"500-012436",14,"2022-01-01"
"500-065399",14,"2022-01-01"
"500-037004",14,"2022-01-01"
"500-026611",14,"2022-01-01"
"500-046576",14,"2022-01-01"
"500-044317",14,"2022-01-01"
"500-057363",14,"2022-01-01"
"500-065656",14,"2022-01-01"
"500-067037",14,"2022-01-01"
"500-053210",14,"2022-01-01"
"500-042405",14,"2022-01-01"
"500-063144",14,"2022-01-01"
"500-043196",14,"2022-01-01"
"500-052783",14,"2022-01-01"
"500-034639",14,"2022-01-01"
"500-062966",14,"2022-01-01"
"500-059901",14,"2022-01-01"
"500-060091",14,"2022-01-01"
"500-041861",14,"2022-01-01"
"500-002058",14,"2022-01-01"
"500-066783",14,"2022-01-01"
"500-067210",14,"2022-01-01"
"500-065471",14,"2022-01-01"
"500-007909",14,"2022-01-01"
"500-044130",14,"2022-01-01"
"500-063363",14,"2022-01-01"
"500-053037",14,"2022-01-01"
"500-010070",14,"2022-01-01"
"500-020324",14,"2022-01-01"
"500-005716",14,"2022-01-01"
"500-016762",14,"2022-01-01"
"500-026436",14,"2022-01-01"
"500-051399",14,"2022-01-01"
"500-009483",14,"2022-01-01"
"500-018296",14,"2022-01-01"
"500-004285",14,"2022-01-01"
"500-011852",14,"2022-01-01"
"500-002597",14,"2022-01-01"
"500-015921",14,"2022-01-01"
"500-052855",14,"2022-01-01"
"500-041590",14,"2022-01-01"
"500-042662",14,"2022-01-01"
